tiempo radio velocidad aceleracion temperatura pg nH2 nH nO nO2 nOH nH2O nN nNH nNH2 nNH3 nN2H nNO nNO2 nN2O nHNO nN2 nArnH2O2 nHO2 
3.79997997408e-05 0.000239329873368 -15.2885213411 -1745977.77527 641.260354034 12603.2919645 975871860517 1.24626352507e-20 6.09092888621e-26 487938347927 4.85151221016e-22 8.02916311464e+13 0 0 0 0 0 0 0 0 0 0 0 8.36509088452e-48 2.3019062917e-62 
3.82609478894e-05 0.0002352762293 -15.7615531579 -1866917.28003 657.492779471 12871.4116051 975871214240 9.0546446768e-20 5.89490475194e-25 487938122758 4.3316533476e-21 7.59008604025e+13 0 0 0 0 0 0 0 0 0 0 0 3.30811322087e-46 2.00270511299e-60 
3.85194186695e-05 0.000231138292121 -16.262878024 -2001418.14171 674.545750011 13150.604283 975870539456 6.58569525143e-19 5.70623597693e-24 487937887593 3.85152360919e-20 7.15862119828e+13 0 0 0 0 0 0 0 0 0 0 0 1.30427445666e-44 1.74256617615e-58 
3.87759127552e-05 0.000226899279561 -16.7970888256 -2152055.59905 692.482237744 13442.314017 975869832099 4.79744413187e-18 5.52759384956e-23 487937641002 3.40998994958e-19 6.73431118447e+13 0 0 0 0 0 0 0 0 0 0 0 5.12729574355e-43 1.51731790642e-56 
3.90311916807e-05 0.000222539154751 -17.3698828548 -2322132.49689 711.371869938 13748.3543709 975869087203 3.50216545934e-17 5.3622010623e-22 487937381237 3.00578519477e-18 6.31667260213e+13 0 0 0 0 0 0 0 0 0 0 0 2.01011788252e-41 1.32321435084e-54 
3.92860965246e-05 0.000218033708351 -17.9884301028 -2515957.9209 731.291899103 14071.0494958 975868298636 2.56361901853e-16 5.21402775407e-21 487937106140 2.63751400729e-17 5.90519013749e+13 0 0 0 0 0 0 0 0 0 0 0 7.86124943305e-40 1.15691535981e-52 
3.95415707045e-05 0.000213353324975 -18.6618986875 -2739263.01018 752.328397009 14413.4450196 975867458733 1.88305411334e-15 5.08808655364e-20 487936813010 2.30366085499e-16 5.49931083628e+13 0 0 0 0 0 0 0 0 0 0 0 3.06812470731e-38 1.01547472239e-50 
3.97986873065e-05 0.000208461313039 -19.4022192999 -2999837.71251 774.577770301 14779.6314572 975866557786 1.38898149975e-14 4.99088324987e-19 487936498424 2.00259915094e-15 5.09844019486e+13 0 0 0 0 0 0 0 0 0 0 0 1.19565411452e-36 8.96337237833e-49 
4.00586802337e-05 0.00020331163947 -20.2252197426 -3308533.72853 798.148764665 15175.2537909 975865583332 1.02970718742e-13 4.93111303237e-18 487936157984 1.73259963761e-14 4.70194384373e+13 0 0 0 0 0 0 0 0 0 0 0 4.65596628416e-35 7.97345576519e-47 
4.03229751317e-05 0.000197845887879 -21.1523406144 -3680892.67673 823.165261055 15608.337488 975864519141 7.67888055613e-13 4.92074235907e-17 487935785956 1.49183459397e-13 4.30916336023e+13 0 0 0 0 0 0 0 0 0 0 0 1.8134305261e-33 7.16756068139e-45 
4.05932070907e-05 0.000191989323002 -22.2132675381 -4139873.01671 849.770435402 16090.6657132 975863343823 5.7656439889e-12 4.9766729414e-16 487935374768 1.27837088262e-12 3.91946541014e+13 0 0 0 0 0 0 0 0 0 0 0 7.07276026073e-32 6.5325403013e-43 
4.08711890576e-05 0.000185646325291 -23.4499818879 -4720554.35437 878.133386412 16640.1327776 975862028966 4.36267087962e-11 5.12317664044e-15 487934914345 1.09013813611e-11 3.53236711382e+13 0 0 0 0 0 0 0 0 0 0 0 2.76588981298e-30 6.05929788275e-41 
4.11587377681e-05 0.000178696843534 -24.9228385498 -5478431.3067 908.460353837 17284.8193197 975860537030 3.32899821285e-10 5.394898502e-14 487934391339 9.24847134392e-11 3.14783161117e+13 0 0 0 0 0 0 0 0 0 0 0 1.08563139436e-28 5.74084160221e-39 
4.14571346152e-05 0.000170999710638 -26.7188073523 -6504027.1632 941.014335082 18069.9326782 975858820179 2.5617208921e-09 5.83830571926e-13 487933788659 7.79827682221e-10 2.7669249247e+13 0 0 0 0 0 0 0 0 0 0 0 4.27547390808e-27 5.56479404807e-37 
4.17657756836e-05 0.000162419096202 -28.9591357279 -7947205.76923 976.148460017 19068.5778713 975856824131 1.98429957375e-08 6.50298675941e-12 487933086747 6.51823075211e-09 2.39313573864e+13 0 0 0 0 0 0 0 0 0 0 0 1.68237728833e-25 5.49163547726e-35 
